Id,Label,name,次数,Weighted Degree,Authority,Hub,Modularity Class,PageRank,Component ID,Clustering Coefficient,Number of triangles,Eigenvector Centrality,Eccentricity,Closeness Centrality,Betweenness Centrality,ave_view,ave_comment,ave_mylist,ave_starttime,ave_length
2948,2948,テラカオス,10,10,5.50E-04,5.50E-04,1,5.98E-04,0,1,45,0.016985389,3,2.82892562,0,3780,111,25,2008-11-24 17:53:30,556
5330,5330,ゆっくりしね,10,10,5.50E-04,5.50E-04,1,5.98E-04,0,1,45,0.016985389,3,2.82892562,0,3780,111,25,2008-11-24 17:53:30,556
1488,1488,THE_FINAL_APOCALYPSE,10,10,5.50E-04,5.50E-04,1,5.98E-04,0,1,45,0.016985389,3,2.82892562,0,3780,111,25,2008-11-24 17:53:30,556
5849,5849,七英雄,10,10,5.50E-04,5.50E-04,1,5.98E-04,0,1,45,0.016985389,3,2.82892562,0,3780,111,25,2008-11-24 17:53:30,556
558,558,MGS,10,10,5.50E-04,5.50E-04,1,5.98E-04,0,1,45,0.016985389,3,2.82892562,0,3780,111,25,2008-11-24 17:53:30,556
4090,4090,シェンロンガンダム,9,9,5.00E-04,5.00E-04,22,5.57E-04,0,1,36,0.050619561,3,2.410743802,0,27678,393,60,2010-09-19 15:27:59,559
3475,3475,ごひ,9,9,5.00E-04,5.00E-04,22,5.57E-04,0,1,36,0.050619561,3,2.410743802,0,27678,393,60,2010-09-19 15:27:59,559
5213,5213,処刑用BGM,9,9,5.00E-04,5.00E-04,22,5.60E-04,0,1,36,0.050540604,3,2.410743802,0,36267,1594,76,2011-10-02 18:19:42,1586
4646,4646,予告詐欺,9,9,5.00E-04,5.00E-04,22,5.60E-04,0,1,36,0.050540604,3,2.410743802,0,36267,1594,76,2011-10-02 18:19:42,1586
4088,4088,ガンダムデスサイズ,9,9,5.00E-04,5.00E-04,22,5.57E-04,0,1,36,0.050619561,3,2.410743802,0,29924,581,59,2010-09-15 19:13:43,556
3474,3474,オリハルコン製のビル,9,9,5.00E-04,5.00E-04,22,5.57E-04,0,1,36,0.050619561,3,2.410743802,0,29924,581,59,2010-09-15 19:13:43,556
5216,5216,ご褒美回,9,9,5.00E-04,5.00E-04,22,5.57E-04,0,1,36,0.050619561,3,2.410743802,0,29924,581,59,2010-09-15 19:13:43,556
1305,1305,ADAさんに責められる回,9,9,5.00E-04,5.00E-04,22,5.57E-04,0,1,36,0.050619561,3,2.410743802,0,29924,581,59,2010-09-15 19:13:43,556
5751,5751,ゆっくり様は本当に潔癖症なお方,9,9,5.00E-04,5.00E-04,22,5.57E-04,0,1,36,0.050619561,3,2.410743802,0,27678,393,60,2010-09-19 15:27:59,559
534,534,ゆっくりしていってね！,64,119,0.00324724,0.00324724,9,0.002834514,0,0.209821429,423,0.185951935,3,1.960330579,4820.382191,17313.75,94,201.5,2010-08-26 08:21:48,204.75
924,924,ソードワールド2.0,29,65,0.001498726,0.001498726,22,0.001473641,0,0.403940887,164,0.091110683,3,2.34214876,122.3280009,6998,103.5,41.5,2012-11-08 15:16:04,490.5
354,354,ACE,13,23,6.99E-04,6.99E-04,22,7.70E-04,0,0.794871795,62,0.055131709,3,2.407438017,2.666666667,28790.66667,490,56.66666667,2010-09-15 17:26:54,558.3333333
3913,3913,不器用で器用,9,9,5.00E-04,5.00E-04,22,5.57E-04,0,1,36,0.048266719,3,2.410743802,0,37180,889,93,2010-04-03 23:04:04,695
3446,3446,嘘字幕,15,20,7.99E-04,7.99E-04,22,7.98E-04,0,0.571428571,60,0.092628442,3,2.098347107,427.4111528,26526.25,657.5,178.75,2010-09-26 16:13:40,684.25
3987,3987,シュリキン,9,9,5.00E-04,5.00E-04,22,5.66E-04,0,1,36,0.052925872,3,2.408264463,0,29164,1020,241,2012-05-11 09:01:35,1560
3332,3332,ハヤシライス,10,10,5.50E-04,5.50E-04,4,5.98E-04,0,1,45,0.013657525,4,2.880991736,0,366,19,5,2011-07-21 00:56:29,280
1912,1912,Player,10,10,5.50E-04,5.50E-04,4,5.98E-04,0,1,45,0.013657525,4,2.880991736,0,366,19,5,2011-07-21 00:56:29,280
4521,4521,ファンク,10,10,5.50E-04,5.50E-04,4,5.98E-04,0,1,45,0.013657525,4,2.880991736,0,366,19,5,2011-07-21 00:56:29,280
1106,1106,Ohio,10,10,5.50E-04,5.50E-04,4,5.98E-04,0,1,45,0.013657525,4,2.880991736,0,366,19,5,2011-07-21 00:56:29,280
5098,5098,フジッリ,10,10,5.50E-04,5.50E-04,4,5.98E-04,0,1,45,0.013657525,4,2.880991736,0,366,19,5,2011-07-21 00:56:29,280
76,76,Love,10,10,5.50E-04,5.50E-04,4,5.98E-04,0,1,45,0.013657525,4,2.880991736,0,366,19,5,2011-07-21 00:56:29,280
3924,3924,ポイント制,9,9,5.00E-04,5.00E-04,22,5.59E-04,0,1,36,0.055744941,3,2.29338843,0,3331,334,2,2011-04-11 19:53:01,351
3307,3307,ﾊﾞｰﾊﾞｰｲｪｯﾂｲｪｯﾂ,9,9,5.00E-04,5.00E-04,22,5.59E-04,0,1,36,0.055744941,3,2.29338843,0,3331,334,2,2011-04-11 19:53:01,351
4714,4714,感動のクーリングオフ,10,10,5.50E-04,5.50E-04,7,5.91E-04,0,1,45,0.054801019,3,2.400826446,0,109838,4740,1351,2010-11-16 22:48:43,1070
2175,2175,ぬぬぬ,10,13,5.50E-04,5.50E-04,7,5.91E-04,0,1,45,0.054801019,3,2.400826446,0,64565.5,2555,702,2010-11-16 23:33:45,1070
3522,3522,ナノスーツ,10,10,5.50E-04,5.50E-04,7,6.05E-04,0,1,45,0.053611427,3,2.409917355,0,9175,558,51,2012-05-13 18:50:22,1027
496,496,R-TYPE,28,52,0.001448769,0.001448769,15,0.001470235,0,0.420634921,159,0.085910917,3,2.295867769,41.35558257,178147.25,4499.25,913.125,2011-02-11 07:26:55,915
4183,4183,そしてこの顔である,9,9,5.00E-04,5.00E-04,15,5.36E-04,0,1,36,0.055637474,3,2.312396694,0,215333,5115,874,2011-01-17 05:31:21,1208
6294,6294,天国への加速装置,9,9,5.00E-04,5.00E-04,15,5.36E-04,0,1,36,0.055637474,3,2.312396694,0,215333,5115,874,2011-01-17 05:31:21,1208
2204,2204,Y-TYPE,28,52,0.001448769,0.001448769,15,0.001470235,0,0.420634921,159,0.085910917,3,2.295867769,41.35558257,235974.3333,5988.666667,1182.833333,2011-01-23 16:09:21,1161.666667
221,221,【SW2.0】ゆっくり達が冒険へ,28,60,0.001448769,0.001448769,22,0.001435555,0,0.423280423,160,0.085035059,3,2.382644628,43.43605065,14844.57143,273.5714286,41.14285714,2012-02-21 06:50:23,482
570,570,R-18,26,44,0.001348854,0.001348854,14,0.001227829,0,0.467692308,152,0.076729182,3,2.479338843,354.9474126,18686.5,888.25,139,2010-12-16 02:32:13,671.375
2920,2920,アイレム,9,9,5.00E-04,5.00E-04,15,5.30E-04,0,1,36,0.056114896,3,2.311570248,0,237638,5903,1620,2012-01-06 21:23:34,1160
5816,5816,地獄を超えた先は地獄,10,10,5.50E-04,5.50E-04,15,5.78E-04,0,1,45,0.057459499,3,2.311570248,0,158017,5862,521,2010-10-07 15:48:36,1132
3564,3564,ここからが本当の地獄だ,10,10,5.50E-04,5.50E-04,15,5.78E-04,0,1,45,0.057459499,3,2.311570248,0,158017,5862,521,2010-10-07 15:48:36,1132
6281,6281,復活パターン,10,10,5.50E-04,5.50E-04,15,5.78E-04,0,1,45,0.057459499,3,2.311570248,0,158017,5862,521,2010-10-07 15:48:36,1132
2974,2974,心折設計,10,10,5.50E-04,5.50E-04,15,5.78E-04,0,1,45,0.057459499,3,2.311570248,0,82111,3024.5,266.5,2011-01-20 00:51:35,926.5
5138,5138,同人ＳＴＧ,9,9,5.00E-04,5.00E-04,15,5.89E-04,0,1,36,0.035276301,3,2.42892562,0,1563,47,21,2011-07-22 07:02:37,766
3390,3390,へるしんか,9,9,5.00E-04,5.00E-04,15,5.89E-04,0,1,36,0.035276301,3,2.42892562,0,1563,47,21,2011-07-22 07:02:37,766
230,230,14へ行け,24,28,0.001248938,0.001248938,22,0.001218742,0,0.463768116,128,0.092584368,3,2.230578512,463.7903641,71470.33333,2247.666667,210,2012-07-30 06:51:43,1122.333333
1044,1044,ニコニ・コモンズ,22,36,0.001149023,0.001149023,21,9.93E-04,0,0.562770563,130,0.096252312,3,2.368595041,148.3826512,7008.083333,329.0833333,130.5833333,2010-02-16 19:30:17,324.75
1383,1383,お疲レインボー,9,9,5.00E-04,5.00E-04,14,5.49E-04,0,1,36,0.055428411,3,2.395041322,0,17245,552,48,2010-09-29 21:25:28,541
5180,5180,ゆっくり若本,9,9,5.00E-04,5.00E-04,22,5.53E-04,0,1,36,0.057517208,3,2.403305785,0,43121,1239,201,2012-10-20 14:49:25,770
1229,1229,アンデルセン神父,9,9,5.00E-04,5.00E-04,22,5.53E-04,0,1,36,0.057517208,3,2.403305785,0,43121,1239,201,2012-10-20 14:49:25,770
5721,5721,安定の狂人類,9,9,5.00E-04,5.00E-04,22,5.53E-04,0,1,36,0.057517208,3,2.403305785,0,43121,1239,201,2012-10-20 14:49:25,770
258,258,ＡＭＥＮ,9,9,5.00E-04,5.00E-04,22,5.53E-04,0,1,36,0.057517208,3,2.403305785,0,43121,1239,201,2012-10-20 14:49:25,770
1982,1982,うｐ主はドジっこ,9,9,5.00E-04,5.00E-04,2,5.80E-04,0,1,36,0.0524572,3,2.410743802,0,1963,116,33,2010-11-21 16:07:06,918
1182,1182,うｐ主はドＭ,9,9,5.00E-04,5.00E-04,2,5.80E-04,0,1,36,0.0524572,3,2.410743802,0,1963,116,33,2010-11-21 16:07:06,918
3999,3999,ブラウス大尉,9,9,5.00E-04,5.00E-04,2,5.80E-04,0,1,36,0.0524572,3,2.410743802,0,1963,116,33,2010-11-21 16:07:06,918
183,183,CoD4,9,9,5.00E-04,5.00E-04,2,5.80E-04,0,1,36,0.0524572,3,2.410743802,0,1963,116,33,2010-11-21 16:07:06,918
3319,3319,サイバーフォーミュラ,9,9,5.00E-04,5.00E-04,22,5.70E-04,0,1,36,0.047561731,3,2.410743802,0,3192,53,22,2009-11-20 12:23:44,599
1895,1895,ガンダム00,9,9,5.00E-04,5.00E-04,22,5.70E-04,0,1,36,0.047561731,3,2.410743802,0,3192,53,22,2009-11-20 12:23:44,599
5799,5799,安心のフラグ回収率,9,9,5.00E-04,5.00E-04,22,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,15036,795,54,2010-11-17 00:56:52,1295
1402,1402,アクションに定評のあるゆっくり,9,9,5.00E-04,5.00E-04,22,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,15036,795,54,2010-11-17 00:56:52,1295
6267,6267,悪魔城ドラキュラXX,9,9,5.00E-04,5.00E-04,22,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,15036,795,54,2010-11-17 00:56:52,1295
463,463,JONY,9,13,5.00E-04,5.00E-04,22,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,17531,1081.5,72.5,2011-02-18 06:10:28,1288.5
3431,3431,クトゥルフピザ,9,9,5.00E-04,5.00E-04,19,5.68E-04,0,1,36,0.036577262,3,2.423966942,0,26970,471,58,2012-10-20 21:22:12,721
2225,2225,ゆっくりしていってね！,21,22,0.001099066,0.001099066,10,0.001053415,0,0.447619048,94,0.092634639,3,2.090909091,514.7705,17313.75,94,201.5,2010-08-26 08:21:48,204.75
2711,2711,バトルロイヤル,9,9,5.00E-04,5.00E-04,3,6.18E-04,0,1,36,0.046124542,3,2.410743802,0,2018,105,20,2011-05-06 01:33:16,794
573,573,10分怪談,19,45,9.99E-04,9.99E-04,9,8.86E-04,0,0.678362573,116,0.056651361,3,2.628099174,62.07752791,14365.4,313,31.4,2012-09-27 10:31:09,599.2
2005,2005,ゆっくり実況プレイpart１リンク,9,11,5.00E-04,5.00E-04,3,6.18E-04,0,1,36,0.046124542,3,2.410743802,0,8825.25,174.25,108.25,2011-05-19 20:02:03,980.5
5662,5662,金をかけるゲーム,9,9,5.00E-04,5.00E-04,3,6.18E-04,0,1,36,0.046124542,3,2.410743802,0,2018,105,20,2011-05-06 01:33:16,794
1971,1971,スーパーキノコブラザーズ,9,9,5.00E-04,5.00E-04,3,6.18E-04,0,1,36,0.046124542,3,2.410743802,0,2018,105,20,2011-05-06 01:33:16,794
6155,6155,非協力プレイ,9,9,5.00E-04,5.00E-04,3,6.18E-04,0,1,36,0.046124542,3,2.410743802,0,2018,105,20,2011-05-06 01:33:16,794
165,165,ＮＥＷスーパーマリオブラザーズＷｉｉ,9,9,5.00E-04,5.00E-04,3,6.18E-04,0,1,36,0.046124542,3,2.410743802,0,2018,105,20,2011-05-06 01:33:16,794
266,266,APヘタリア★読み上げソフトリンク,9,9,5.00E-04,5.00E-04,21,5.82E-04,0,1,36,0.014172795,3,2.80661157,0,6369.5,191,29.5,2010-04-20 11:33:18,463
2203,2203,ゆっくりした結果がこれだよ！！！,20,23,0.001049108,0.001049108,21,9.38E-04,0,0.5,95,0.064242694,3,2.490082645,159.1936909,16164,1245,173.75,2010-08-01 07:53:40,255
6229,6229,石津萌,9,9,5.00E-04,5.00E-04,22,5.80E-04,0,1,36,0.049960355,3,2.410743802,0,2840,133,10,2011-10-04 23:50:45,854
348,348,akazome,9,9,5.00E-04,5.00E-04,22,5.80E-04,0,1,36,0.049960355,3,2.410743802,0,2840,133,10,2011-10-04 23:50:45,854
2899,2899,スーパーマリオギャラクシー2,9,9,5.00E-04,5.00E-04,22,5.58E-04,0,1,36,0.053202356,3,2.410743802,0,4828,514,23,2011-05-29 11:25:30,1245
4159,4159,マリオギャラクシー2ゆっくり実況初完走,9,9,5.00E-04,5.00E-04,22,5.58E-04,0,1,36,0.053202356,3,2.410743802,0,4828,514,23,2011-05-29 11:25:30,1245
937,937,DIEジェスト,9,9,5.00E-04,5.00E-04,22,5.58E-04,0,1,36,0.053202356,3,2.410743802,0,3680,271,13,2011-08-20 19:23:19,1449.333333
5802,5802,紡がれ続けた物語の終わり,10,10,5.50E-04,5.50E-04,22,5.87E-04,0,1,45,0.056272192,3,2.409917355,0,11705,497,56,2011-05-13 13:37:39,1632
6271,6271,綺麗な我様,10,10,5.50E-04,5.50E-04,22,5.87E-04,0,1,45,0.056272192,3,2.409917355,0,11705,497,56,2011-05-13 13:37:39,1632
2179,2179,タイトルに偽り無し,10,10,5.50E-04,5.50E-04,22,5.87E-04,0,1,45,0.056272192,3,2.409917355,0,11705,497,56,2011-05-13 13:37:39,1632
1213,1213,Bランクの中で最もAランクに近い（笑）,9,9,5.00E-04,5.00E-04,22,5.20E-04,0,1,36,0.058307187,3,2.403305785,0,14003,323,29,2012-02-20 20:21:23,482
1278,1278,アーマードコア３,9,9,5.00E-04,5.00E-04,22,5.80E-04,0,1,36,0.049960355,3,2.410743802,0,18705,521,41,2010-03-16 15:21:50,601
6224,6224,苔桃,9,9,5.00E-04,5.00E-04,22,5.80E-04,0,1,36,0.049960355,3,2.410743802,0,18705,521,41,2010-03-16 15:21:50,601
319,319,ＡＣ3,9,9,5.00E-04,5.00E-04,22,5.80E-04,0,1,36,0.049960355,3,2.410743802,0,18705,521,41,2010-03-16 15:21:50,601
3918,3918,一級フラグ建築士,10,12,5.50E-04,5.50E-04,22,5.89E-04,0,1,45,0.057429203,3,2.383471074,0,29646.5,1069.5,85.5,2012-05-19 01:58:49,804
5159,5159,卓ゲm@ster,19,27,9.99E-04,9.99E-04,22,9.76E-04,0,0.590643275,101,0.076971853,3,2.354545455,59.52855547,1129.428571,52,24.85714286,2013-05-09 12:20:50,624.7142857
440,440,CALLING～黒き着信～,9,9,5.00E-04,5.00E-04,5,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,194320.2,8549.6,596.8,2010-09-15 17:39:58,1250.4
445,445,EAT_LEAD,10,10,5.50E-04,5.50E-04,22,5.89E-04,0,1,45,0.057429203,3,2.383471074,0,38212,2240,122,2010-10-27 02:11:50,835
6260,6260,自主規制,10,10,5.50E-04,5.50E-04,22,5.89E-04,0,1,45,0.057429203,3,2.383471074,0,38212,2240,122,2010-10-27 02:11:50,835
339,339,ウルヲイ,12,14,6.49E-04,6.49E-04,22,6.75E-04,0,0.787878788,52,0.064230584,3,2.375206612,7.504861485,52591.5,4787.5,154.5,2010-08-17 14:30:42,1327.5
3590,3590,手描き,15,15,7.99E-04,7.99E-04,11,8.30E-04,0,0.514285714,54,0.07655464,3,2.200826446,1264.604437,8270.666667,290,18,2010-09-23 16:21:00,364
2861,2861,ジェットアッパー,9,9,5.00E-04,5.00E-04,11,5.77E-04,0,1,36,0.013906713,3,2.880165289,0,475,51,2,2012-07-08 11:55:20,200
6245,6245,車田落ち,9,9,5.00E-04,5.00E-04,11,5.77E-04,0,1,36,0.013906713,3,2.880165289,0,475,51,2,2012-07-08 11:55:20,200
1155,1155,Chiptune×VOCALOIDリンク,9,9,5.00E-04,5.00E-04,8,5.05E-04,0,1,36,0.021909483,3,2.765289256,0,5149,134,238,2011-04-23 18:31:59,265
2641,2641,如月千早,10,10,5.50E-04,5.50E-04,11,6.21E-04,0,0.866666667,39,0.030909065,3,2.507438017,304.6922448,396,30,1,2011-08-24 14:29:07,145.5
3432,3432,ダンジョンズ&amp:ドラゴンズ,21,32,0.001099066,0.001099066,22,0.001106009,0,0.50952381,107,0.082518139,3,2.347107438,72.37758289,15000,1440.313251,190.1758822,2011-06-02 19:25:46,479.8046018
4698,4698,打ち切り,11,22,5.99E-04,5.99E-04,22,6.18E-04,0,0.8,44,0.066374668,3,2.401652893,2.522771836,30868.33333,1987.333333,155.6666667,2012-02-27 18:58:15,442
3312,3312,どうあがいても破滅なクトゥルフ神話,11,34,5.99E-04,5.99E-04,22,6.17E-04,0,0.818181818,45,0.062339661,3,2.401652893,1.823387723,4023,116.3333333,27,2012-12-02 18:24:09,411.3333333
6132,6132,未完,9,18,5.00E-04,5.00E-04,22,5.31E-04,0,1,36,0.058237992,3,2.403305785,0,5478,101,49,2012-11-09 17:05:05,392
82,82,COD:MW3,12,17,6.49E-04,6.49E-04,7,6.89E-04,0,0.772727273,51,0.066253766,3,2.360330579,64.15167851,2816.5,152,17.5,2012-03-21 11:48:28,975
5281,5281,妄想ハッピーエンド,9,9,5.00E-04,5.00E-04,0,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,361228,33452,2629,2011-05-08 21:42:14,1390
1432,1432,R-TYPE_Ⅱ,18,33,9.49E-04,9.49E-04,15,9.82E-04,0,0.607843137,93,0.072169897,3,2.304958678,9.976190476,255047.75,6041.75,1239,2010-11-24 14:55:59,1169.5
3218,3218,ばかす,9,13,5.00E-04,5.00E-04,22,5.81E-04,0,1,36,0.051740643,3,2.410743802,0,18126.5,998.5,72.5,2010-12-29 14:29:02,1326.25
3457,3457,モトコンポ,9,9,5.00E-04,5.00E-04,4,5.60E-04,0,1,36,0.014569,3,2.808264463,0,8728,129,56,2013-04-06 18:58:54,266
2801,2801,歴史,31,51,0.001598641,0.001598641,21,0.001470788,0,0.361290323,168,0.089306693,3,2.50661157,1092.415383,12938.25641,406.4871795,172.8974359,2011-11-27 16:49:39,560.5897436
4203,4203,主に体がきもい,13,19,6.99E-04,6.99E-04,22,6.66E-04,0,0.538461538,42,0.07727045,3,2.2,220.0820912,45585,1034.666667,207.6666667,2010-01-15 10:00:41,1164
2235,2235,作ってみた,19,56,9.99E-04,9.99E-04,21,8.67E-04,0,0.631578947,108,0.087919137,3,2.384297521,79.24410837,25243.63333,1130.566667,608.4666667,2011-08-01 23:15:08,283.4666667
4936,4936,迷列車派生シリーズ,10,12,5.50E-04,5.50E-04,4,6.00E-04,0,0.844444444,38,0.018278406,3,2.802479339,6.143831072,17529.63636,389.5454545,167.8181818,2012-01-27 02:14:59,354
3439,3439,わくわく★ゆうかりんランド！,18,39,9.49E-04,9.49E-04,14,8.98E-04,0,0.575163399,88,0.046632368,3,2.611570248,21.09721764,7441,385,35,2011-10-04 08:45:37,914
5201,5201,英国面,9,9,5.00E-04,5.00E-04,4,5.60E-04,0,1,36,0.014569,3,2.808264463,0,6788,136.5,55,2012-05-01 07:12:45,329.5
308,308,welbike,9,9,5.00E-04,5.00E-04,4,5.60E-04,0,1,36,0.014569,3,2.808264463,0,8728,129,56,2013-04-06 18:58:54,266
5252,5252,できる椛,9,9,5.00E-04,5.00E-04,14,5.29E-04,0,1,36,0.054090825,3,2.36446281,0,1374,59,8,2013-03-23 20:15:48,478
2135,2135,カルネージハート,11,35,5.99E-04,5.99E-04,14,6.30E-04,0,0.945454545,52,0.056457855,3,2.362809917,0.333333333,1606,91,7.5,2013-03-23 12:18:02,652.75
5554,5554,初見殺し,9,9,5.00E-04,5.00E-04,14,5.29E-04,0,1,36,0.054090825,3,2.36446281,0,11539,309.5,86.5,2012-08-10 04:31:03,1032.5
1355,1355,MMD,11,35,5.99E-04,5.99E-04,14,6.30E-04,0,0.945454545,52,0.056457855,3,2.362809917,0.333333333,1606,91,7.5,2013-03-23 12:18:02,652.75
6243,6243,神奈子様もみてる,9,9,5.00E-04,5.00E-04,14,5.11E-04,0,1,36,0.026902048,3,2.695041322,0,12310,302,105,2012-11-10 22:36:31,316
3503,3503,レイサナの道を歩む,10,24,5.50E-04,5.50E-04,14,5.57E-04,0,0.955555556,43,0.028580511,3,2.690082645,0.475,14454.66667,440.6666667,129.6666667,2012-12-17 06:39:50,390.3333333
2141,2141,エンドブレイカー,9,14,5.00E-04,5.00E-04,22,5.15E-04,0,1,36,0.067252553,3,2.329752066,0,374.5,11,1.5,2013-03-25 03:15:09,262
2517,2517,パラノイアpart1（0）リンク,17,18,8.99E-04,8.99E-04,22,9.01E-04,0,0.558823529,76,0.05867567,3,2.268595041,281.0186158,176110.25,2556.75,3488.75,2012-12-19 20:13:14,675.5
6304,6304,風流東方春華,18,36,9.49E-04,9.49E-04,14,8.93E-04,0,0.666666667,102,0.046172715,3,2.609090909,58.6840893,25423.25,978.75,312.5,2012-01-10 10:36:39,470.5
5335,5335,東方萃香無双,10,10,5.50E-04,5.50E-04,14,5.36E-04,0,1,45,0.030537289,3,2.707438017,0,21528,1289,325,2012-03-27 18:51:17,792
1224,1224,Fate/stay_night,13,19,6.99E-04,6.99E-04,19,7.82E-04,0,0.846153846,66,0.040241314,3,2.420661157,1.714285714,25627,633.5,61.5,2012-10-20 02:03:13,1005.5
2954,2954,ゆっくり猥談,30,70,0.001548684,0.001548684,14,0.001389573,0,0.416091954,181,0.086364959,3,2.453719008,446.0112818,13491.72727,546.8181818,179.1818182,2010-09-14 07:29:58,417.2727273
1494,1494,アウトとセーフの境界,10,10,5.50E-04,5.50E-04,14,5.36E-04,0,1,45,0.030537289,3,2.707438017,0,22114,1067,222,2012-02-11 01:46:57,574
1230,1230,Fate/EXTRA,9,9,5.00E-04,5.00E-04,19,5.68E-04,0,1,36,0.036577262,3,2.423966942,0,26970,471,58,2012-10-20 21:22:12,721
576,576,BL,9,9,5.00E-04,5.00E-04,21,4.88E-04,0,1,36,0.041356524,3,2.645454545,0,1123.5,35,17.5,2009-10-18 16:18:10,403
3894,3894,棒歌ロイドオリジナル曲,10,10,5.50E-04,5.50E-04,8,5.79E-04,0,1,45,0.017330806,3,2.824793388,0,18771.57143,398.9285714,690,2010-10-30 17:28:33,196
2949,2949,ゆっくりthere,10,10,5.50E-04,5.50E-04,8,5.79E-04,0,1,45,0.017330806,3,2.824793388,0,53310,1223,2119,2008-12-06 16:49:19,215
